latitude,longitude,polarity
53.474161,-2.252886,0.08357142857142856
53.474676,-2.256875,0.0
53.474676,-2.256875,0.0
53.474676,-2.256875,0.0
53.474676,-2.256875,0.0
53.474894,-2.251828,0.0
53.474544,-2.257173,0.0
53.47453,-2.257764,0.0
53.476354,-2.254237,0.0
53.474674,-2.256651,0.0
53.474674,-2.256651,0.0
53.474674,-2.256651,0.0
53.474674,-2.256651,0.0
53.474674,-2.256651,0.0
53.474674,-2.256651,0.0
53.474349,-2.256941,0.0
53.474349,-2.256941,0.0
53.474603,-2.254412,0.0
53.476352,-2.253314,0.0
53.473686,-2.256102,0.0
53.474391,-2.25165,0.11875
53.47465,-2.251239,0.0
53.473541,-2.251589,0.0
53.473838,-2.253139,0.0
53.47423,-2.257048,0.0
53.474082,-2.253077,0.0
53.47465,-2.255598,0.5
53.475441,-2.25833,0.0
53.478065,-2.258203,0.0
53.475736,-2.250989,0.125
53.474625,-2.254053,0.0
53.475225,-2.256027,0.0
53.474676,-2.251092,0.16
53.474603,-2.254412,0.0
53.473865,-2.255995,0.0
53.474194,-2.253206,0.18333333333333335
53.475212,-2.255673,0.06651785714285714
53.475212,-2.255673,0.06651785714285714
53.475212,-2.255673,0.06260504201680672
53.475212,-2.255673,0.06651785714285714
53.475291,-2.256964,0.0
53.475077,-2.257167,0.0
53.475211,-2.257023,0.0
53.47515,-2.256431,0.0
53.474622,-2.256559,0.0
53.474572,-2.255789,0.0
53.4745,-2.25595,0.0
53.474547,-2.255825,0.0
53.474538,-2.255662,0.0
53.47453,-2.255362,0.0
53.474572,-2.254767,0.0
53.474547,-2.254581,0.0
53.474302,-2.253387,0.0
53.474525,-2.252167,0.0
53.475522,-2.256801,0.0
53.4742,-2.253232,0.0
53.4742,-2.253232,0.0
53.474328,-2.252717,0.1875
53.474328,-2.252717,0.1875
53.474328,-2.252717,0.1875
53.474603,-2.254412,0.04285714285714286
53.474603,-2.254412,0.04285714285714286
53.474603,-2.254412,0.04285714285714286
53.474603,-2.254412,0.04285714285714286
53.474603,-2.254412,0.04285714285714286
