latitude,longitude
53.474327,-2.253647
53.474161,-2.252886
53.474676,-2.256875
53.474676,-2.256875
53.474676,-2.256875
53.474544,-2.257173
53.47453,-2.257764
53.476354,-2.254237
53.474674,-2.256651
53.474674,-2.256651
53.474674,-2.256651
53.474674,-2.256651
53.474674,-2.256651
53.474349,-2.256941
53.474349,-2.256941
53.474349,-2.256941
53.474603,-2.254412
53.476352,-2.253314
53.473686,-2.256102
53.473991,-2.254987
53.474391,-2.25165
53.47465,-2.251239
53.473541,-2.251589
53.473838,-2.253139
53.474441,-2.251562
53.47465,-2.255598
53.475736,-2.250989
53.474899,-2.25799
53.474899,-2.25799
53.474899,-2.25799
53.475225,-2.256027
53.473865,-2.255995
53.474194,-2.253206
53.475212,-2.255673
53.475212,-2.255673
53.475212,-2.255673
53.475212,-2.255673
53.475212,-2.255673
53.475212,-2.255673
53.475522,-2.256801
53.4742,-2.253232
53.4742,-2.253232
53.474328,-2.252717
53.474328,-2.252717
53.474328,-2.252717
53.475282,-2.255662
53.473986,-2.253195
53.475576,-2.250459
53.475576,-2.250459
53.475595,-2.250523
53.475576,-2.250459
53.475595,-2.250523
53.475595,-2.250523
53.475595,-2.250523
53.475576,-2.250459
53.475576,-2.250459
53.474625,-2.25357
53.475258,-2.250364
53.475341,-2.253631
53.474268,-2.250826
53.474247,-2.256543
53.475202,-2.255498
53.474691,-2.256816
53.473656,-2.262374
53.474269,-2.260657
53.473656,-2.262374
53.474247,-2.256543
53.474525,-2.259262
53.474525,-2.259262
53.474525,-2.259262
53.474525,-2.259262
53.474716,-2.25894
53.474716,-2.25894
53.474716,-2.25894
53.474793,-2.258661
53.474716,-2.25894
53.474716,-2.25894
53.474247,-2.256543
53.474065,-2.257031
53.474065,-2.257031
53.474269,-2.257267
53.475697,-2.254531
53.475697,-2.254531
53.474247,-2.256543
53.474295,-2.257503
53.474129,-2.257996
53.473777,-2.255189
53.473777,-2.255189
53.474206,-2.258554
53.474206,-2.258554
53.474525,-2.257953
53.474525,-2.257953
53.474525,-2.257953
53.473938,-2.2564
53.475163,-2.257953
53.475163,-2.257953
53.475136,-2.257175
53.475136,-2.257175
53.475136,-2.257175
53.475136,-2.257175
53.476775,-2.256353
53.476775,-2.256353
53.476775,-2.256353
53.476775,-2.256353
53.474091,-2.257374
53.474065,-2.257031
53.474541,-2.253481
53.474317,-2.254161
53.474247,-2.256543
53.476591,-2.254728
53.476939,-2.256859
53.47635,-2.253617
53.475726,-2.252979
53.475726,-2.252979
53.474647,-2.256756
53.474113,-2.256531
53.474469,-2.256914
53.47388,-2.25642
53.47388,-2.256414
53.473566,-2.255934
53.473705,-2.256275
53.473694,-2.256017
53.475202,-2.255498
53.475202,-2.255498
53.475202,-2.255498
53.474676,-2.256875
53.474676,-2.256875
53.475411,-2.254567
53.475547,-2.254398
53.475802,-2.25655
53.476722,-2.256092
53.475244,-2.255877
53.475327,-2.254697
53.474395,-2.251456
53.475419,-2.255772
53.475419,-2.255772
53.475745,-2.25692
53.475419,-2.255772
53.475745,-2.25692
53.475419,-2.255772
53.475745,-2.25692
53.475745,-2.25692
53.474383,-2.256221
53.474676,-2.256875
53.474634,-2.255922
53.472929,-2.254034
53.474666,-2.251162
53.474366,-2.258453
53.474366,-2.258453
53.474638,-2.256684
53.474638,-2.256684
53.474638,-2.256684
53.473669,-2.256148
53.473669,-2.256148
53.473669,-2.256148
53.474638,-2.256684
53.474638,-2.256684
53.474638,-2.256684
53.474172,-2.256081
53.474638,-2.256684
53.474638,-2.256684
53.474638,-2.256684
53.474638,-2.256684
53.474577,-2.257495
53.475155,-2.256628
53.475155,-2.256628
53.475155,-2.256628
53.475155,-2.256628
53.475155,-2.256628
53.475155,-2.256628
53.475155,-2.256628
53.475155,-2.256628
53.475155,-2.256628
53.474634,-2.255922
53.474638,-2.256684
53.474402,-2.255992
53.474402,-2.255992
53.474019,-2.2557
53.474186,-2.253137
53.474019,-2.2557
53.474019,-2.2557
53.474552,-2.251956
53.474552,-2.251956
53.475136,-2.255619
53.474794,-2.250546
53.474829,-2.256596
53.474676,-2.258173
53.473814,-2.261499
53.475086,-2.25687
53.473708,-2.25057
53.475155,-2.256982
53.475008,-2.256295
53.475244,-2.255889
53.475506,-2.256231
53.475225,-2.255254
53.47511,-2.256156
53.475128,-2.254398
53.474701,-2.250362
53.474701,-2.250362
53.474701,-2.250362
53.471936,-2.25328
53.472754,-2.254278
53.472083,-2.253313
53.471668,-2.254471
53.472364,-2.254192
53.471528,-2.250587
53.472479,-2.250984
53.472479,-2.250984
53.472402,-2.251456
53.471802,-2.252991
53.471528,-2.250587
53.475094,-2.256345
53.475202,-2.255879
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474848,-2.257678
53.474056,-2.253161
53.474918,-2.25623
53.474439,-2.256594
53.474918,-2.25623
53.474848,-2.257678
53.474848,-2.257678
53.474848,-2.257678
53.474848,-2.257678
53.475608,-2.253472
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474883,-2.257574
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.474056,-2.253161
53.475033,-2.254137
53.477676,-2.249975
53.474961,-2.253418
53.474056,-2.253161
53.473967,-2.253043
53.478183,-2.258695
53.473919,-2.256364
53.474791,-2.257207
53.475091,-2.253284
53.47525,-2.25495
53.475183,-2.255664
53.475111,-2.256189
53.475155,-2.256628
53.47513,-2.256548
53.475116,-2.256662
53.475155,-2.256556
53.475147,-2.25647
53.475133,-2.256487
53.475175,-2.256475
53.47523,-2.256364
53.475222,-2.256342
53.475088,-2.256189
53.4752,-2.255309
53.475216,-2.25502
53.475163,-2.25485
53.475272,-2.253659
53.475063,-2.252709
53.474666,-2.251162
53.472305,-2.251643
53.474676,-2.258173
53.47518,-2.25519
53.47518,-2.25519
53.47481,-2.258774
53.47518,-2.25519
53.475193,-2.256145
53.474963,-2.256606
53.475136,-2.256596
53.475193,-2.256145
53.475193,-2.256145
53.475625,-2.25665
53.474305,-2.252304
53.474503,-2.254836
53.473666,-2.256192
53.474931,-2.257722
53.474931,-2.257722
53.474931,-2.257722
53.474931,-2.257722
53.474931,-2.257722
53.474676,-2.256875
53.475086,-2.256673
53.475005,-2.257034
53.475094,-2.256325
53.475158,-2.256014
53.474469,-2.253156
53.475078,-2.255816
53.475078,-2.255816
53.475255,-2.256137
53.474944,-2.25681
53.475555,-2.250278
53.475652,-2.250492
53.47715,-2.254098
53.47715,-2.254098
53.47715,-2.254098
53.47715,-2.254098
53.474631,-2.257261
53.475161,-2.256398
53.47523,-2.256237
53.474554,-2.256585
53.473884,-2.253366
53.474912,-2.25696
53.474497,-2.255745
53.474247,-2.256543
53.474247,-2.256543
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
53.475164,-2.254892
