latitude,longitude
53.476083,-2.252918
53.476358,-2.254173
53.47419,-2.252057
53.474891,-2.252611
53.475277,-2.250278
53.475652,-2.250492
53.475555,-2.250278
53.476197,-2.249098
53.476172,-2.249112
53.476188,-2.249103
53.476172,-2.249112
53.476197,-2.249098
53.4762,-2.249095
53.476097,-2.249081
53.4762,-2.249095
53.475563,-2.250484
53.475616,-2.250342
53.475155,-2.251274
53.476368,-2.254064
53.477011,-2.254053
53.472824,-2.250802
53.471963,-2.251592
53.471963,-2.251592
53.474816,-2.249848
53.475876,-2.252454
53.474772,-2.250738
53.475563,-2.253506
53.475531,-2.253516
53.477099,-2.257947
53.474293,-2.251232
53.472688,-2.253402
53.474989,-2.251428
53.474989,-2.251428
53.476419,-2.253828
53.475889,-2.251746
53.473683,-2.25636
53.474663,-2.256574
53.478045,-2.254804
53.476196,-2.25107
53.475508,-2.250498
53.475508,-2.250498
53.474529,-2.24974
53.475508,-2.250498
53.475508,-2.250498
53.475519,-2.250233
53.475519,-2.250233
53.475946,-2.256875
53.477805,-2.255201
53.4728,-2.251395
53.4728,-2.251395
53.474663,-2.250888
53.474663,-2.250888
53.47795,-2.255456
53.475838,-2.251596
53.475167,-2.251371
53.47442,-2.251971
53.47442,-2.251971
53.477779,-2.255265
53.474944,-2.256789
53.474995,-2.256038
53.477925,-2.249376
53.477925,-2.249376
53.477925,-2.249376
53.475991,-2.2549
53.475184,-2.251523
53.477868,-2.255501
53.477868,-2.255501
53.477868,-2.255501
53.477868,-2.255501
53.477868,-2.255501
53.477939,-2.255244
53.477939,-2.255244
53.477868,-2.255501
53.477868,-2.255501
53.477753,-2.255072
53.477868,-2.255501
53.477805,-2.256295
53.477907,-2.256939
53.477907,-2.256939
53.477907,-2.256939
53.477907,-2.256939
53.477907,-2.256939
53.477805,-2.256295
53.477805,-2.256295
53.477607,-2.255898
53.477868,-2.255501
53.477868,-2.255501
53.477868,-2.255501
53.477868,-2.255501
53.477868,-2.255501
53.477868,-2.255501
53.477868,-2.255501
53.477868,-2.255501
53.477868,-2.255501
53.477868,-2.255501
53.478034,-2.254525
53.478034,-2.254525
53.478469,-2.256209
53.475889,-2.252347
53.476342,-2.254139
53.476196,-2.252864
53.476196,-2.252864
53.476196,-2.252864
53.476196,-2.252864
53.476196,-2.252864
53.475327,-2.250673
53.475327,-2.250673
53.475327,-2.250673
53.4775,-2.250167
53.4775,-2.250167
53.4775,-2.250167
53.4775,-2.250167
53.477333,-2.250167
53.477833,-2.25
53.47405,-2.251682
53.478239,-2.249536
53.478239,-2.249536
53.475493,-2.255158
53.474395,-2.252626
53.476044,-2.252306
53.475046,-2.251188
53.476221,-2.254042
53.476285,-2.253913
53.474331,-2.252411
53.474267,-2.252433
53.475876,-2.252454
53.476975,-2.257937
53.476464,-2.254221
53.475129,-2.251253
53.476173,-2.259133
53.477116,-2.254406
53.474838,-2.2562
53.474593,-2.256156
53.475442,-2.250437
53.475158,-2.251414
53.475164,-2.251231
53.475075,-2.251145
53.475075,-2.251145
53.475075,-2.251145
53.473517,-2.261273
53.473991,-2.25128
53.477005,-2.254263
53.474446,-2.25166
53.474318,-2.252326
53.474325,-2.252283
53.475889,-2.251746
53.475953,-2.251853
53.475908,-2.252218
53.47451,-2.256735
53.478475,-2.249343
53.475381,-2.250491
53.475381,-2.250491
53.475381,-2.250491
53.475381,-2.250491
53.475381,-2.250491
53.475381,-2.250491
53.475381,-2.250491
53.476388,-2.2507
53.476333,-2.250714
53.476388,-2.2507
53.476388,-2.2507
53.476042,-2.252422
53.47631,-2.253913
53.474321,-2.25534
53.472102,-2.249869
53.472102,-2.249869
53.472102,-2.249869
53.472102,-2.249869
53.472102,-2.249869
53.472102,-2.249869
53.472102,-2.249869
53.472102,-2.249869
53.472102,-2.249869
53.472102,-2.249869
53.472102,-2.249869
53.474395,-2.255598
53.475988,-2.252326
53.47663,-2.252905
53.472778,-2.2606
53.471321,-2.26167
53.477319,-2.257304
53.477543,-2.255533
53.474778,-2.255094
53.474305,-2.252347
53.477099,-2.257947
53.475959,-2.254849
53.474835,-2.256692
53.474835,-2.256692
53.474835,-2.256692
53.474835,-2.256692
53.474835,-2.256692
53.474835,-2.256692
53.474835,-2.256692
53.474835,-2.256692
53.474835,-2.256692
53.474835,-2.256692
53.474263,-2.256761
53.476642,-2.255421
