polarity,keywords
0.35,"thanks, many"
-0.0025793650793650936,"behind, interesting, other, awkward, little, more, right, down, sure, beautiful, slightly, slowly, light, evil, huge, apparently, really, narrowly"
0.13097943722943725,"few, greatly, terribly, past, real, large, loud, right, busy, light, rightly, anxious, calm, nice, odd, really, major"
0.03743799603174603,"nice, lovely, past, large, little, sure, down, slow, huge, wrong, odd"
0.21666666666666667,"thanks, marked, first, many"
0.22037037037037038,"excellent, first, many, thanks, previous, really, very"
0.03333333333333333,clear
-0.18333333333333335,"subject, round"
0.13,"top, common"
0.3,worth
0.25,"exactly, first"
0.8,happy
0.43333333333333335,strong
0.3007936507936508,"old, great, right, lucky"
0.31666666666666665,"exact, good"
0.1,"light, narrow"
0.1645021645021645,"new, special"
0.12424242424242422,"new, direct"
-0.25,lazy
-0.21333333333333335,"high, base"
0.26666666666666666,"previously, good"
0.05,first
0.16666666666666666,first
0.375,rich
0.21875000000000006,"welcome, enjoy, first, entertaining, thanks, exhausting"
0.10082539682539685,"hidden, lovely, high, right, great, early, odd"
0.09999999999999999,clear
0.15000000000000002,concrete
-0.10340909090909092,"concrete, old, new, base"
0.1431818181818182,"new, concrete"
0.2380952380952381,"smart, top"
-0.05625,"other, new, old, platitudes"
-0.026785714285714284,certainly
0.1,enigmatic
0.1090909090909091,"modern, new, old"
0.38333333333333336,"apparently, bright, light"
0.35,full
0.13434343434343435,"new, old, 'older"
0.275,"small, great"
0.14696969696969697,"promising, good, fine, long, huge"
-0.15109890109890112,"single, raw"
0.1,"fantastic, round"
0.15,first
0.08,high
0.13392857142857142,"much, right, very, peaceful"
0.2708333333333333,"first, famous"
0.125,pretty
0.4,fantastic
0.4,available
0.16666666666666666,main
0.15284090909090908,"new, old, original"
-0.16666666666666666,black'ish
0.3,golden
-0.25,blind
-0.15,ruins
0.5833333333333334,"free, creative, beautiful"
-0.08333333333333333,slightly
0.025238095238095243,"few, pale, important, special, usual, very"
0.35,"straight, lovely"
0.1,lovely
0.2,light
0.55,"nice, iconic"
0.08333333333333333,classic
0.04375,"other, nice, least"
0.35,"modern, more"
0.05333333333333332,"behind, fresh, really, classic"
0.2253968253968254,"free, clearly, right, classic"
0.1875,unique
0.12424242424242422,"new, old"
0.4125,"clearly, good"
0.525,"beautifully, real"
0.07714285714285714,"complete, right"
0.85,beautiful
0.2,important
1.0,perfect
0.09523809523809523,right
0.175,"nice, clear"
0.07999999999999999,"dead, liked"
0.5750000000000001,"complete, liked, perfect"
0.04047619047619048,"half, best, long, round, failed, really"
0.11666666666666665,"round, liked, long"
-0.0875,"fast, past"
-0.3,negative
0.9375,own
0.3375,"much, great"
0.25,most
-0.15,dark
0.7000000000000001,bright
0.27142857142857146,"modern, busy, more, right"
0.4,"huge, fresh, worth, lovely"
0.25,impressive
-0.6,aghast
0.13107142857142856,"behind, excuse, barely, happy, quick, right, sorry, other, decent"
0.16666666666666666,lucky
0.002499999999999991,"little, good, quickly, unfortunately"
-0.175,mess
-0.6666666666666666,"cold, bloody"
1.0,"attractive, very"
-0.6,crazy
-0.1,pink
