latitude,longitude
53.480188,-2.22945
53.474327,-2.253647
53.474689,-2.251489
53.477233,-2.236543
53.474638,-2.240889
53.476427,-2.239042
53.484275,-2.23155
53.482947,-2.227762
53.470152,-2.295056
53.472866,-2.291648
53.472866,-2.291648
53.474544,-2.257173
53.475894,-2.254684
53.47453,-2.257764
53.472677,-2.26252
53.484312,-2.225088
53.480994,-2.245174
53.480994,-2.245174
53.481754,-2.245786
53.481754,-2.245786
53.481754,-2.245786
53.477853,-2.246473
53.477853,-2.246473
53.477861,-2.248766
53.474603,-2.254412
53.473838,-2.253139
53.47423,-2.257048
53.475276,-2.256317
53.485274,-2.244472
53.47465,-2.255598
53.47465,-2.255598
53.476642,-2.245481
53.477319,-2.244386
53.475595,-2.247133
53.474417,-2.245408
53.48394,-2.225911
53.4804,-2.230062
53.481922,-2.228864
53.481647,-2.229312
53.48023,-2.231081
53.481188,-2.22925
53.480172,-2.230575
53.480441,-2.230056
53.482097,-2.228695
53.480205,-2.230584
53.479786,-2.231362
53.48003,-2.230423
53.47988,-2.231331
53.479816,-2.231378
53.481428,-2.244939
53.481428,-2.244939
53.481428,-2.244939
53.483059,-2.223604
53.475391,-2.241919
53.475441,-2.25833
53.470985,-2.213594
53.478182,-2.244332
53.474625,-2.254053
53.475225,-2.256027
53.475209,-2.241748
53.48472,-2.243946
53.475216,-2.241678
53.473865,-2.255995
53.474689,-2.251489
53.468507,-2.269642
53.471183,-2.267743
53.464234,-2.284533
53.468507,-2.269642
53.464636,-2.291947
53.464541,-2.28021
53.464777,-2.294275
53.464636,-2.291947
53.464381,-2.299704
53.464636,-2.291947
53.464636,-2.291947
53.462369,-2.304393
53.469554,-2.269191
53.464636,-2.291947
53.459386,-2.307525
53.460855,-2.306442
53.462152,-2.304725
53.464636,-2.291947
53.456575,-2.308652
53.464636,-2.291947
53.467083,-2.272689
53.468507,-2.269642
53.464323,-2.282313
53.464323,-2.282313
53.482784,-2.223688
53.479462,-2.251998
53.479462,-2.251998
53.479462,-2.251998
53.476876,-2.239864
53.476876,-2.239864
53.476876,-2.239864
53.4789,-2.241709
53.480656,-2.239617
53.480656,-2.239617
53.474382,-2.246296
53.485297,-2.244381
53.485297,-2.244381
53.485297,-2.244381
53.485297,-2.244381
53.485297,-2.244381
53.475212,-2.255673
53.475212,-2.255673
53.475212,-2.255673
53.475212,-2.255673
53.475212,-2.255673
53.473738,-2.239545
53.473741,-2.239401
53.475077,-2.257167
53.475211,-2.257023
53.474622,-2.256559
53.474572,-2.255789
53.4745,-2.25595
53.474547,-2.255825
53.474538,-2.255662
53.47453,-2.255362
53.474572,-2.254767
53.474547,-2.254581
53.474302,-2.253387
53.474711,-2.250187
53.4745,-2.246178
53.476163,-2.238209
53.480879,-2.241998
53.477623,-2.24481
53.475503,-2.247106
53.474411,-2.245475
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.47429,-2.24055
53.477853,-2.246473
53.477853,-2.246473
53.477853,-2.246473
53.476601,-2.241548
53.476601,-2.241548
53.476601,-2.241548
53.476601,-2.241548
53.4742,-2.253232
53.4742,-2.253232
53.475726,-2.23959
53.472779,-2.291786
53.47041,-2.29891
53.474328,-2.252717
53.474328,-2.252717
53.475101,-2.239746
53.475101,-2.239746
53.47429,-2.237707
53.475101,-2.239746
53.471063,-2.301417
53.474603,-2.254412
53.474603,-2.254412
53.474603,-2.254412
53.474603,-2.254412
53.474603,-2.254412
53.474603,-2.254412
53.475282,-2.255662
53.475202,-2.255498
53.474247,-2.256543
53.473777,-2.255189
53.475136,-2.257175
53.475136,-2.257175
53.475136,-2.257175
53.476775,-2.256353
53.474317,-2.254161
53.474247,-2.256543
53.481344,-2.221459
53.480286,-2.221853
53.480286,-2.221853
53.475202,-2.255498
53.475202,-2.255498
53.475202,-2.255498
53.474408,-2.246028
53.474408,-2.246028
53.483761,-2.225503
53.479733,-2.22796
53.479771,-2.228872
53.475411,-2.254567
53.475802,-2.25655
53.476722,-2.256092
53.482452,-2.187384
53.481513,-2.184803
53.481555,-2.184739
53.478366,-2.260029
53.471751,-2.288659
53.475327,-2.254697
53.478337,-2.259462
53.474364,-2.256715
53.474383,-2.256221
53.474676,-2.256875
53.479902,-2.232067
53.474634,-2.255922
53.474366,-2.258453
53.474366,-2.258453
53.474638,-2.256684
53.474638,-2.256684
53.474638,-2.256684
53.473669,-2.256148
53.473669,-2.256148
53.474638,-2.256684
53.474638,-2.256684
53.474638,-2.256684
53.474638,-2.256684
